Position,Driver,Team,BestLap,LapTimeSeconds,Compound,TyreLife,TrackStatus,Sector1Time,Sector2Time,Sector3Time
1,RUS,,1:16.363,76.363,SOFT,2.0,1,22.28,30.798,23.285
2,PIA,,1:16.566,76.566,SOFT,2.0,1,22.225,31.068,23.273
3,LEC,,1:16.883,76.883,SOFT,2.0,1,22.532,30.905,23.446
4,VER,,1:17.047,77.047,SOFT,2.0,12,22.406,31.126,23.515
5,FOR,,1:17.216,77.216,SOFT,2.0,1,22.584,31.338,23.294
6,ARO,,1:17.321,77.321,SOFT,2.0,1,22.474,31.371,23.476
7,LAW,,1:17.472,77.472,SOFT,2.0,1,22.455,31.285,23.732
8,BEG,,1:17.778,77.778,SOFT,2.0,1,22.825,31.368,23.585
9,LIN,,1:17.804,77.804,SOFT,2.0,21,22.738,31.305,23.761
10,COL,,1:17.893,77.893,SOFT,2.0,1,22.614,31.541,23.738
11,BEA,,1:18.172,78.172,SOFT,2.0,1,22.724,31.453,23.995
12,BOR,,1:18.209,78.209,SOFT,2.0,1,22.69,31.614,23.905
13,SAI,,1:18.293,78.293,SOFT,3.0,1,22.783,31.665,23.845
14,IWA,,1:18.298,78.298,SOFT,2.0,1,22.823,31.582,23.893
15,VES,,1:18.365,78.365,SOFT,8.0,1,23.212,31.606,23.547
16,OCO,,1:18.372,78.372,SOFT,2.0,1,22.823,31.559,23.99
17,GAS,,1:18.508,78.508,SOFT,2.0,1,22.879,31.899,23.73
18,BOT,,1:18.914,78.914,SOFT,2.0,1,23.101,31.785,24.028
19,ALO,,1:20.067,80.067,SOFT,2.0,1,23.165,32.47,24.432
20,STR,,1:20.318,80.318,SOFT,2.0,1,23.986,32.261,24.071
21,HER,,1:20.697,80.697,SOFT,5.0,1,23.664,32.629,24.404
