Position,Driver,Team
1.0,RUS,Mercedes
2.0,VER,Red Bull Racing
3.0,ANT,Mercedes
4.0,PIA,McLaren
5.0,HAM,Ferrari
6.0,HAD,Red Bull Racing
7.0,NOR,McLaren
8.0,LEC,Ferrari
9.0,LAW,Racing Bulls
10.0,LIN,Racing Bulls
11.0,BOR,Audi
12.0,HUL,Audi
13.0,GAS,Alpine
14.0,BEA,Haas F1 Team
15.0,COL,Alpine
16.0,OCO,Haas F1 Team
17.0,ALB,Williams
18.0,ALO,Aston Martin
19.0,STR,Aston Martin
20.0,SAI,Williams
21.0,PER,Cadillac
22.0,BOT,Cadillac
