Driver,Team,LapTimeSeconds,Sector1Seconds,Sector2Seconds,Sector3Seconds,Compound,TyreLife,IsAccurate,Deleted,TrackStatus
PIA,McLaren,104.289,38.797,40.146,25.346,SOFT,4,True,False,12
GAS,Alpine,104.793,38.333,39.011,27.449,SOFT,7,True,False,1
GAS,Alpine,104.929,39.276,38.601,27.052,SOFT,7,True,False,1
COL,Alpine,105.641,39.163,40.232,26.246,SOFT,8,True,False,1
HAD,Red Bull Racing,105.698,40.515,36.239,28.944,SOFT,6,True,False,1
LAW,Racing Bulls,106.03,42.318,38.126,25.586,MEDIUM,7,True,False,1
LEC,Ferrari,106.158,38.346,36.055,31.757,SOFT,10,True,False,1
PIA,McLaren,107.582,40.911,40.868,25.803,SOFT,3,True,False,1
BOT,Cadillac,108.042,41.383,39.203,27.456,SOFT,9,True,False,1
ALO,Aston Martin,108.058,39.902,39.482,28.674,SOFT,3,True,False,1
ALO,Aston Martin,108.179,40.751,38.854,28.574,MEDIUM,7,True,False,1
BEA,Haas F1 Team,109.138,35.499,35.245,38.394,SOFT,7,True,False,1
NOR,McLaren,109.222,33.11,35.363,40.749,SOFT,9,True,False,1
STR,Aston Martin,109.972,41.936,38.799,29.237,SOFT,8,True,False,1
HAM,Ferrari,110.314,47.007,38.487,24.82,SOFT,7,True,False,1
LEC,Ferrari,110.352,35.991,34.724,39.637,SOFT,9,True,False,1
STR,Aston Martin,110.901,38.231,44.123,28.547,MEDIUM,3,True,False,1
BOR,Audi,111.356,33.08,40.407,37.869,SOFT,8,True,False,1
BEA,Haas F1 Team,111.466,47.2,39.084,25.182,SOFT,4,True,False,1
RUS,Mercedes,112.079,46.608,40.407,25.064,SOFT,6,True,False,1
RUS,Mercedes,112.129,37.665,47.601,26.863,SOFT,3,True,False,1
OCO,Haas F1 Team,112.439,42.534,43.944,25.961,SOFT,8,True,False,1
PIA,McLaren,113.01,41.641,44.31,27.059,SOFT,9,True,False,1
LEC,Ferrari,113.233,38.884,45.934,28.415,SOFT,7,True,False,1
LEC,Ferrari,114.345,42.479,45.064,26.802,SOFT,4,True,False,1
LEC,Ferrari,114.846,40.34,42.61,31.896,SOFT,3,True,False,1
OCO,Haas F1 Team,115.337,41.706,40.502,33.129,SOFT,6,True,False,1
PIA,McLaren,115.41,41.976,43.341,30.093,SOFT,7,True,False,1
HAM,Ferrari,115.541,28.774,38.725,48.042,SOFT,8,True,False,1
NOR,McLaren,119.857,41.297,44.229,34.331,SOFT,4,True,False,1
GAS,Alpine,119.928,45.085,43.958,30.885,SOFT,10,True,False,1
