Driver,Team,LapTimeSeconds,Sector1Seconds,Sector2Seconds,Sector3Seconds,Compound,TyreLife,IsAccurate,Deleted,TrackStatus
HAM,Ferrari,73.026,19.295,34.365,19.366,SOFT,3,True,False,1
LEC,Ferrari,73.137,19.323,34.479,19.335,SOFT,4,True,False,1
LEC,Ferrari,73.19,19.265,34.533,19.392,SOFT,10,True,False,1
VER,Red Bull Racing,73.194,19.254,34.55,19.39,SOFT,9,True,False,1
HAM,Ferrari,73.36,19.357,34.57,19.433,SOFT,10,True,False,1
VER,Red Bull Racing,73.467,19.332,34.6,19.535,SOFT,4,True,False,1
VER,Red Bull Racing,73.5,19.303,34.707,19.49,SOFT,7,True,False,1
RUS,Mercedes,73.515,19.32,34.614,19.581,SOFT,5,True,False,1
ANT,Mercedes,73.554,19.222,34.887,19.445,SOFT,9,True,False,1
RUS,Mercedes,73.628,19.393,34.593,19.642,SOFT,9,True,False,1
HAM,Ferrari,73.729,19.394,34.646,19.689,MEDIUM,7,True,False,1
ANT,Mercedes,73.752,19.237,34.851,19.664,SOFT,7,True,False,1
ANT,Mercedes,73.85,19.44,34.872,19.538,SOFT,3,True,False,1
VER,Red Bull Racing,73.902,19.566,34.898,19.438,SOFT,3,True,False,1
VER,Red Bull Racing,74.008,19.485,35.019,19.504,MEDIUM,7,True,False,1
HAD,Red Bull Racing,74.087,19.402,34.997,19.688,SOFT,6,True,False,1
PIA,McLaren,74.088,19.632,34.908,19.548,SOFT,7,True,False,1
HUL,Audi,74.094,19.506,35.036,19.552,SOFT,3,True,False,1
VER,Red Bull Racing,74.175,19.488,35.075,19.612,MEDIUM,9,True,False,1
LEC,Ferrari,74.175,19.632,34.898,19.645,MEDIUM,6,True,False,1
LEC,Ferrari,74.192,19.59,34.742,19.86,MEDIUM,5,True,False,1
ANT,Mercedes,74.208,19.605,35.031,19.572,MEDIUM,5,True,False,1
LEC,Ferrari,74.24,19.694,34.85,19.696,MEDIUM,3,True,False,1
HAM,Ferrari,74.306,19.617,34.846,19.843,MEDIUM,3,True,False,1
PIA,McLaren,74.323,19.522,35.039,19.762,SOFT,9,True,False,1
BEA,Haas F1 Team,74.456,19.575,35.066,19.815,SOFT,10,True,False,1
GAS,Alpine,74.497,19.516,35.131,19.85,SOFT,7,True,False,1
SAI,Williams,74.512,19.58,35.228,19.704,SOFT,4,True,False,1
BEA,Haas F1 Team,74.555,19.641,35.126,19.788,SOFT,4,True,False,1
RUS,Mercedes,74.578,19.665,35.101,19.812,MEDIUM,6,True,False,1
ALB,Williams,74.6,19.807,35.083,19.71,SOFT,7,True,False,1
