Driver,Team,LapTimeSeconds,Sector1Seconds,Sector2Seconds,Sector3Seconds,Compound,TyreLife,IsAccurate,Deleted,TrackStatus
LEC,Ferrari,77.72,20.511,36.486,20.723,HARD,3,True,False,1
HUL,Audi,77.734,20.407,36.625,20.702,HARD,3,True,False,1
ALO,Aston Martin,77.763,20.622,36.587,20.554,HARD,8,True,False,1
LAW,Racing Bulls,77.857,20.646,36.727,20.484,HARD,9,True,False,1
OCO,Haas F1 Team,77.867,20.561,36.592,20.714,HARD,10,True,False,1
COL,Alpine,77.9,20.267,36.922,20.711,HARD,8,True,False,1
SAI,Williams,78.022,20.608,36.561,20.853,HARD,6,True,False,1
ANT,Mercedes,78.054,20.346,36.812,20.896,HARD,3,True,False,1
GAS,Alpine,78.1,20.848,36.452,20.8,HARD,7,True,False,1
VER,Red Bull Racing,78.119,20.731,36.876,20.512,HARD,3,True,False,1
ALB,Williams,78.12,20.795,36.432,20.893,HARD,5,True,False,1
BOT,Cadillac,78.174,20.731,36.737,20.706,MEDIUM,10,True,False,1
STR,Aston Martin,78.175,20.877,36.663,20.635,MEDIUM,8,True,False,1
LAW,Racing Bulls,78.19,20.801,36.881,20.508,HARD,7,True,False,1
LIN,Racing Bulls,78.242,20.568,37.032,20.642,HARD,6,True,False,1
LIN,Racing Bulls,78.28,20.668,36.979,20.633,HARD,8,True,False,1
STR,Aston Martin,78.29,20.851,36.598,20.841,MEDIUM,6,True,False,1
BOR,Audi,78.393,20.517,36.736,21.14,HARD,9,True,False,1
PIA,McLaren,78.409,20.758,36.84,20.811,HARD,3,True,False,1
COL,Alpine,78.505,20.381,37.082,21.042,HARD,7,True,False,1
BOR,Audi,78.516,20.592,37.136,20.788,HARD,4,True,False,1
COL,Alpine,78.536,20.624,37.051,20.861,HARD,4,True,False,1
LAW,Racing Bulls,78.557,20.796,36.894,20.867,HARD,5,True,False,1
ALB,Williams,78.569,21.093,36.774,20.702,HARD,4,True,False,1
BOR,Audi,78.583,21.037,36.643,20.903,HARD,6,True,False,1
ALO,Aston Martin,78.65,21.051,36.855,20.744,HARD,7,True,False,1
STR,Aston Martin,78.707,20.921,36.865,20.921,MEDIUM,5,True,False,1
BEA,Haas F1 Team,78.709,20.953,36.905,20.851,HARD,5,True,False,1
ANT,Mercedes,78.716,21.243,36.64,20.833,MEDIUM,10,True,False,1
LAW,Racing Bulls,78.727,20.905,37.135,20.687,HARD,4,True,False,1
ALB,Williams,78.79,20.81,37.253,20.727,HARD,10,True,False,1
OCO,Haas F1 Team,78.8,20.844,36.98,20.976,HARD,7,True,False,1
BOT,Cadillac,78.829,21.153,36.861,20.815,MEDIUM,6,True,False,1
OCO,Haas F1 Team,78.947,21.135,36.861,20.951,HARD,5,True,False,1
NOR,McLaren,78.984,20.464,36.387,22.133,HARD,6,True,False,1
RUS,Mercedes,78.985,21.132,37.132,20.721,HARD,3,True,False,1
STR,Aston Martin,78.989,20.969,36.366,21.654,MEDIUM,2,True,False,12
COL,Alpine,79.018,21.057,36.927,21.034,HARD,10,True,False,1
ANT,Mercedes,79.148,20.01,36.374,22.764,HARD,8,True,False,1
NOR,McLaren,79.153,20.03,35.872,23.251,MEDIUM,2,True,False,1
ALO,Aston Martin,79.155,21.185,37.099,20.871,HARD,6,True,False,1
PER,Cadillac,79.192,21.226,37.255,20.711,MEDIUM,8,True,False,1
BOT,Cadillac,79.23,21.085,37.094,21.051,MEDIUM,4,True,False,1
ALO,Aston Martin,79.282,21.09,37.024,21.168,HARD,3,True,False,1
SAI,Williams,79.315,20.114,37.42,21.781,MEDIUM,8,True,False,1
STR,Aston Martin,79.443,21.29,37.288,20.865,MEDIUM,4,True,False,1
GAS,Alpine,79.489,20.73,37.153,21.606,HARD,4,True,False,1
NOR,McLaren,79.513,20.201,37.075,22.237,HARD,7,True,False,1
COL,Alpine,79.549,20.944,37.275,21.33,HARD,6,True,False,1
HAM,Ferrari,79.737,21.415,37.299,21.023,HARD,2,True,False,1
HAD,Red Bull Racing,79.907,20.633,36.917,22.357,HARD,3,True,False,1
ALB,Williams,79.924,21.597,37.22,21.107,HARD,3,True,False,1
COL,Alpine,79.93,21.178,37.475,21.277,HARD,3,True,False,1
ALB,Williams,79.937,21.024,37.57,21.343,HARD,9,True,False,1
PER,Cadillac,80.034,21.538,37.331,21.165,MEDIUM,3,True,False,1
HAD,Red Bull Racing,80.158,20.26,38.81,21.088,HARD,5,True,False,1
BOR,Audi,80.179,21.266,37.482,21.431,HARD,3,True,False,1
ANT,Mercedes,80.184,21.453,37.471,21.26,HARD,2,True,False,1
LEC,Ferrari,80.242,20.685,37.307,22.25,HARD,8,True,False,1
ANT,Mercedes,80.274,23.176,36.616,20.482,HARD,4,True,False,1
NOR,McLaren,80.322,20.782,37.194,22.346,HARD,3,True,False,1
OCO,Haas F1 Team,80.379,20.836,37.361,22.182,MEDIUM,6,True,False,12
GAS,Alpine,80.387,21.174,37.667,21.546,HARD,3,True,False,1
LAW,Racing Bulls,80.451,21.821,37.608,21.022,HARD,3,True,False,1
ALO,Aston Martin,80.623,21.767,37.715,21.141,HARD,2,True,False,1
VER,Red Bull Racing,80.68,21.363,38.335,20.982,HARD,2,True,False,1
PIA,McLaren,80.755,19.791,36.347,24.617,MEDIUM,10,True,False,12
NOR,McLaren,80.851,22.281,37.562,21.008,HARD,2,True,False,1
OCO,Haas F1 Team,80.933,21.7,37.967,21.266,HARD,3,True,False,1
PIA,McLaren,80.995,22.517,37.562,20.916,HARD,2,True,False,1
SAI,Williams,81.072,20.731,37.928,22.413,MEDIUM,2,True,False,1
ANT,Mercedes,81.106,21.211,37.074,22.821,HARD,5,True,False,1
VER,Red Bull Racing,81.107,20.555,36.442,24.11,MEDIUM,3,True,False,1
STR,Aston Martin,81.134,21.901,37.909,21.324,MEDIUM,3,True,False,1
LEC,Ferrari,81.146,20.502,35.856,24.788,HARD,6,True,False,1
BOT,Cadillac,81.225,21.937,37.915,21.373,MEDIUM,3,True,False,1
BEA,Haas F1 Team,81.296,21.893,38.06,21.343,HARD,3,True,False,1
