Position,Driver,Team
1.0,RUS,Mercedes
2.0,LEC,Ferrari
3.0,NOR,McLaren
4.0,ANT,Mercedes
5.0,PIA,McLaren
6.0,VER,Red Bull Racing
7.0,HAM,Ferrari
8.0,GAS,Alpine
9.0,BOR,Audi
10.0,LIN,Racing Bulls
11.0,LAW,Red Bull Racing
12.0,COL,Alpine
13.0,TSU,Racing Bulls
14.0,OCO,Haas F1 Team
15.0,BEA,Haas F1 Team
16.0,ALB,Williams
17.0,STR,Aston Martin
18.0,ALO,Aston Martin
19.0,BOT,Cadillac
20.0,SAI,Williams
21.0,PER,Cadillac
22.0,HUL,Audi
