Driver,Team,LapTimeSeconds,Sector1Seconds,Sector2Seconds,Sector3Seconds,Compound,TyreLife,IsAccurate,Deleted,TrackStatus
BEA,Haas F1 Team,112.576,32.014,50.534,30.028,MEDIUM,7,True,False,1
RUS,Mercedes,112.594,31.59,50.955,30.049,MEDIUM,12,True,False,1
LEC,Ferrari,112.654,32.085,50.732,29.837,MEDIUM,15,True,False,21
NOR,McLaren,112.669,31.583,50.392,30.694,SOFT,8,True,False,12
VER,Red Bull Racing,112.673,31.985,50.695,29.993,MEDIUM,13,True,False,1
COL,Alpine,112.738,31.812,50.56,30.366,HARD,2,True,False,1
STR,Aston Martin,112.808,32.56,50.478,29.77,SOFT,2,True,False,1
HAD,Red Bull Racing,112.816,31.95,50.955,29.911,SOFT,12,True,False,1
VER,Red Bull Racing,112.826,32.139,50.635,30.052,MEDIUM,14,True,False,1
HAD,Red Bull Racing,112.862,32.032,51.165,29.665,SOFT,13,True,False,12
STR,Aston Martin,112.931,32.495,50.536,29.9,SOFT,4,True,False,1
NOR,McLaren,112.946,32.098,50.847,30.001,SOFT,9,True,False,1
OCO,Haas F1 Team,112.97,32.221,50.723,30.026,MEDIUM,8,True,False,1
HUL,Audi,113.047,31.873,50.92,30.254,HARD,10,True,False,1
LIN,Racing Bulls,113.082,31.003,48.917,33.162,MEDIUM,8,True,False,1
CRA,Aston Martin,113.199,32.302,50.909,29.988,SOFT,4,True,False,1
OCO,Haas F1 Team,113.202,32.303,50.621,30.278,MEDIUM,4,True,False,1
LAW,Racing Bulls,113.202,31.824,51.128,30.25,MEDIUM,13,True,False,1
HUL,Audi,113.203,32.09,50.58,30.533,HARD,14,True,False,1
RUS,Mercedes,113.249,31.879,51.082,30.288,MEDIUM,13,True,False,1
LIN,Racing Bulls,113.373,32.272,50.981,30.12,MEDIUM,12,True,False,1
LIN,Racing Bulls,113.426,32.291,51.005,30.13,MEDIUM,13,True,False,1
LIN,Racing Bulls,113.457,32.193,51.314,29.95,MEDIUM,11,True,False,1
HUL,Audi,113.495,32.129,51.0,30.366,HARD,15,True,False,1
GAS,Alpine,113.528,31.654,51.456,30.418,HARD,12,True,False,1
STR,Aston Martin,113.606,32.611,50.752,30.243,MEDIUM,9,True,False,1
LAW,Racing Bulls,113.658,32.078,51.4,30.18,MEDIUM,15,True,False,1
HAD,Red Bull Racing,113.659,31.662,52.037,29.96,SOFT,14,True,False,1
STR,Aston Martin,113.664,32.765,50.843,30.056,MEDIUM,6,True,False,1
HUL,Audi,113.689,32.186,50.996,30.507,HARD,12,True,False,1
ALB,Williams,113.712,31.954,51.419,30.339,SOFT,7,True,False,1
PER,Cadillac,113.734,32.161,51.085,30.488,HARD,2,True,False,1
OCO,Haas F1 Team,113.753,32.639,50.802,30.312,MEDIUM,3,True,False,1
GAS,Alpine,113.759,31.882,51.504,30.373,HARD,13,True,False,1
LIN,Racing Bulls,113.776,32.228,51.357,30.191,MEDIUM,14,True,False,1
CRA,Aston Martin,113.811,32.747,50.774,30.29,SOFT,2,True,False,1
BOT,Cadillac,113.826,32.173,51.361,30.292,HARD,2,True,False,1
LAW,Racing Bulls,113.833,32.256,51.548,30.029,MEDIUM,14,True,False,1
HUL,Audi,113.844,32.228,51.034,30.582,HARD,13,True,False,1
BEA,Haas F1 Team,113.962,32.41,51.152,30.4,MEDIUM,2,True,False,1
LIN,Racing Bulls,114.011,32.279,51.703,30.029,MEDIUM,15,True,False,12
HUL,Audi,114.054,32.106,51.723,30.225,HARD,11,True,False,1
ALB,Williams,114.055,32.038,51.617,30.4,SOFT,8,True,False,1
STR,Aston Martin,114.084,32.899,51.028,30.157,MEDIUM,4,True,False,1
GAS,Alpine,114.112,31.801,51.843,30.468,HARD,14,True,False,1
LAW,Racing Bulls,114.119,32.025,52.008,30.086,MEDIUM,12,True,False,1
ALB,Williams,114.397,32.125,51.876,30.396,SOFT,9,True,False,1
CRA,Aston Martin,114.56,32.89,51.344,30.326,MEDIUM,11,True,False,1
SAI,Williams,114.919,32.243,52.034,30.642,MEDIUM,14,True,False,1
STR,Aston Martin,114.921,33.014,51.425,30.482,MEDIUM,2,True,False,1
ALB,Williams,115.08,32.411,51.781,30.888,SOFT,11,True,False,12
SAI,Williams,115.086,32.294,52.182,30.61,MEDIUM,15,True,False,1
PER,Cadillac,115.143,32.144,52.292,30.707,SOFT,7,True,False,1
CRA,Aston Martin,115.184,32.972,51.672,30.54,MEDIUM,9,True,False,1
PER,Cadillac,115.227,32.519,52.13,30.578,SOFT,9,True,False,12
OCO,Haas F1 Team,115.369,32.348,52.369,30.652,MEDIUM,2,True,False,1
CRA,Aston Martin,115.373,32.999,51.903,30.471,MEDIUM,6,True,False,1
PER,Cadillac,115.375,32.358,52.194,30.823,SOFT,8,True,False,1
SAI,Williams,115.448,32.195,51.968,31.285,MEDIUM,13,True,False,1
CRA,Aston Martin,115.453,32.819,52.057,30.577,MEDIUM,4,True,False,1
CRA,Aston Martin,115.811,33.118,51.842,30.851,SOFT,8,True,False,1
BOT,Cadillac,115.825,32.407,52.865,30.553,HARD,15,True,False,1
CRA,Aston Martin,115.828,33.158,51.689,30.981,SOFT,7,True,False,12
CRA,Aston Martin,116.053,32.991,52.124,30.938,SOFT,6,True,False,1
BOT,Cadillac,116.252,32.505,52.865,30.882,HARD,14,True,False,12
PER,Cadillac,116.444,32.941,52.3,31.203,SOFT,10,True,False,21
BOT,Cadillac,117.367,33.976,52.364,31.027,HARD,12,True,False,1
CRA,Aston Martin,117.383,33.156,53.391,30.836,MEDIUM,2,True,False,1
NOR,McLaren,117.753,38.987,48.629,30.137,SOFT,5,True,False,1
BOT,Cadillac,122.749,32.247,58.903,31.599,HARD,13,True,False,1
BEA,Haas F1 Team,133.207,40.865,58.136,34.206,MEDIUM,12,True,False,1
SAI,Williams,134.457,38.778,60.104,35.575,MEDIUM,6,True,False,1
RUS,Mercedes,135.231,31.031,70.432,33.768,SOFT,4,True,False,1
COL,Alpine,136.013,35.998,66.989,33.026,HARD,10,True,False,1
CRA,Aston Martin,137.755,44.765,61.876,31.114,SOFT,5,True,False,1
HUL,Audi,137.894,31.63,63.714,42.55,HARD,4,True,False,1
ANT,Mercedes,138.039,37.938,64.615,35.486,MEDIUM,6,True,False,1
SAI,Williams,139.921,46.373,60.105,33.443,SOFT,2,True,False,1
OCO,Haas F1 Team,143.426,37.992,60.678,44.756,SOFT,6,True,False,1
NOR,McLaren,144.588,40.212,62.823,41.553,SOFT,10,True,False,1
VER,Red Bull Racing,144.933,40.585,54.385,49.963,SOFT,5,True,False,1
PER,Cadillac,145.232,40.122,71.535,33.575,HARD,3,True,False,1
RUS,Mercedes,145.839,39.294,61.769,44.776,SOFT,7,True,False,1
BOT,Cadillac,146.061,40.401,70.315,35.345,SOFT,3,True,False,1
BOT,Cadillac,146.399,41.529,67.74,37.13,HARD,8,True,False,1
PER,Cadillac,147.67,46.626,64.769,36.275,HARD,8,True,False,1
BOT,Cadillac,148.285,43.067,66.65,38.568,HARD,3,True,False,1
COL,Alpine,148.597,43.042,61.872,43.683,SOFT,9,True,False,1
PIA,McLaren,149.036,43.002,65.865,40.169,MEDIUM,4,True,False,1
