Driver,Team,LapTimeSeconds,Sector1Seconds,Sector2Seconds,Sector3Seconds,Compound,TyreLife,IsAccurate,Deleted,TrackStatus
ANT,Mercedes,72.72,19.059,34.261,19.4,SOFT,3,True,False,1
ANT,Mercedes,72.935,19.199,34.309,19.427,SOFT,6,True,False,12
LEC,Ferrari,73.047,19.186,34.386,19.475,SOFT,5,True,False,1
HAM,Ferrari,73.051,19.346,34.385,19.32,SOFT,4,True,False,1
ANT,Mercedes,73.137,19.204,34.643,19.29,SOFT,8,True,False,1
ANT,Mercedes,73.374,19.338,34.643,19.393,SOFT,5,True,False,1
RUS,Mercedes,73.483,19.247,34.687,19.549,SOFT,7,True,False,1
RUS,Mercedes,73.656,19.378,34.77,19.508,SOFT,9,True,False,1
VER,Red Bull Racing,73.662,19.381,34.812,19.469,SOFT,3,True,False,1
VER,Red Bull Racing,73.683,19.299,34.829,19.555,SOFT,7,True,False,1
BOR,Audi,73.82,19.482,34.818,19.52,SOFT,4,True,False,1
HAD,Red Bull Racing,73.877,19.466,34.777,19.634,SOFT,3,True,False,1
RUS,Mercedes,73.902,19.291,34.983,19.628,SOFT,3,True,False,1
PIA,McLaren,73.945,19.441,34.824,19.68,SOFT,5,True,False,1
HAD,Red Bull Racing,73.96,19.501,34.779,19.68,SOFT,8,True,False,1
VER,Red Bull Racing,73.969,19.434,34.944,19.591,SOFT,10,True,False,1
VER,Red Bull Racing,73.98,19.404,34.921,19.655,SOFT,8,True,False,1
HAM,Ferrari,74.003,19.435,34.803,19.765,SOFT,10,True,False,1
HUL,Audi,74.05,19.652,34.929,19.469,SOFT,5,True,False,12
PIA,McLaren,74.103,19.448,34.724,19.931,SOFT,7,True,False,1
NOR,McLaren,74.174,19.525,35.007,19.642,SOFT,7,True,False,1
HUL,Audi,74.218,19.669,34.818,19.731,SOFT,3,True,False,1
ANT,Mercedes,74.222,19.537,34.985,19.7,SOFT,3,True,False,1
HAD,Red Bull Racing,74.233,19.55,34.947,19.736,SOFT,9,True,False,1
PIA,McLaren,74.246,19.533,35.055,19.658,SOFT,9,True,False,1
OCO,Haas F1 Team,74.278,19.703,34.903,19.672,SOFT,5,True,False,1
HUL,Audi,74.311,19.564,35.155,19.592,SOFT,9,True,False,1
SAI,Williams,74.336,19.612,35.013,19.711,SOFT,7,True,False,1
NOR,McLaren,74.375,19.701,34.964,19.71,SOFT,5,True,False,1
HAM,Ferrari,74.39,19.458,34.769,20.163,SOFT,6,True,False,1
HAD,Red Bull Racing,74.404,19.499,35.141,19.764,SOFT,7,True,False,1
HUL,Audi,74.459,19.698,35.125,19.636,SOFT,7,True,False,1
BEA,Haas F1 Team,74.487,19.492,35.079,19.916,SOFT,3,True,False,1
VER,Red Bull Racing,74.509,19.416,35.112,19.981,SOFT,3,True,False,1
GAS,Alpine,74.522,19.523,35.125,19.874,SOFT,7,True,False,1
VER,Red Bull Racing,74.524,19.47,35.229,19.825,SOFT,4,True,False,1
OCO,Haas F1 Team,74.584,19.782,35.009,19.793,SOFT,3,True,False,1
OCO,Haas F1 Team,74.613,19.714,35.103,19.796,SOFT,10,True,False,1
HAD,Red Bull Racing,74.613,19.624,35.171,19.818,SOFT,4,True,False,1
BOR,Audi,74.639,19.555,35.285,19.799,SOFT,8,True,False,1
HUL,Audi,74.653,19.8,35.108,19.745,SOFT,5,True,False,1
GAS,Alpine,74.737,19.676,35.181,19.88,SOFT,9,True,False,1
BOR,Audi,74.781,19.701,35.271,19.809,SOFT,9,True,False,1
HAD,Red Bull Racing,74.793,19.518,35.435,19.84,SOFT,3,True,False,1
SAI,Williams,74.798,19.731,35.192,19.875,SOFT,7,True,False,1
ALB,Williams,74.801,19.808,35.159,19.834,SOFT,8,True,False,1
BEA,Haas F1 Team,74.825,19.68,35.324,19.821,SOFT,7,True,False,1
HUL,Audi,74.826,19.828,35.168,19.83,SOFT,10,True,False,1
OCO,Haas F1 Team,74.864,19.849,35.258,19.757,SOFT,8,True,False,1
BEA,Haas F1 Team,74.943,19.59,35.4,19.953,SOFT,9,True,False,1
PER,Cadillac,74.945,19.658,35.276,20.011,SOFT,3,True,False,1
LAW,Racing Bulls,74.975,19.768,35.449,19.758,SOFT,8,True,False,1
HUL,Audi,74.983,20.004,35.251,19.728,SOFT,3,True,False,1
BOR,Audi,75.075,19.862,35.246,19.967,SOFT,6,True,False,1
GAS,Alpine,75.093,19.797,35.385,19.911,SOFT,5,True,False,1
LEC,Ferrari,75.118,19.775,35.344,19.999,SOFT,6,True,False,1
BEA,Haas F1 Team,75.131,19.737,35.485,19.909,SOFT,5,True,False,1
NOR,McLaren,75.176,19.854,35.251,20.071,SOFT,3,True,False,1
COL,Alpine,75.179,19.91,35.44,19.829,SOFT,3,True,False,1
COL,Alpine,75.182,19.718,35.47,19.994,SOFT,10,True,False,1
LEC,Ferrari,75.184,19.957,35.438,19.789,SOFT,3,True,False,1
LIN,Racing Bulls,75.21,19.682,35.674,19.854,SOFT,6,True,False,1
ALB,Williams,75.245,19.837,35.409,19.999,SOFT,5,True,False,1
HAM,Ferrari,75.246,19.962,35.342,19.942,SOFT,3,True,False,1
LIN,Racing Bulls,75.281,19.615,35.257,20.409,SOFT,4,True,False,1
GAS,Alpine,75.282,19.599,35.512,20.171,SOFT,4,True,False,1
LEC,Ferrari,75.313,19.205,36.41,19.698,SOFT,9,True,False,1
PIA,McLaren,75.328,20.014,35.386,19.928,SOFT,3,True,False,1
OCO,Haas F1 Team,75.331,19.934,35.513,19.884,SOFT,5,True,False,1
PER,Cadillac,75.355,19.797,35.363,20.195,SOFT,3,True,False,1
BOR,Audi,75.37,19.703,35.669,19.998,SOFT,3,True,False,1
SAI,Williams,75.386,19.747,35.469,20.17,SOFT,4,True,False,1
LIN,Racing Bulls,75.44,19.805,35.469,20.166,SOFT,9,True,False,1
BOT,Cadillac,75.451,20.032,35.407,20.012,SOFT,3,True,False,1
LAW,Racing Bulls,75.479,19.896,35.703,19.88,SOFT,5,True,False,1
ALB,Williams,75.493,19.834,35.714,19.945,SOFT,3,True,False,1
LAW,Racing Bulls,75.509,19.999,35.634,19.876,SOFT,3,True,False,1
ALO,Aston Martin,75.567,19.852,35.742,19.973,SOFT,5,True,False,1
LIN,Racing Bulls,75.57,19.971,35.732,19.867,SOFT,3,True,False,1
RUS,Mercedes,75.726,19.349,34.445,21.932,SOFT,4,True,False,1
COL,Alpine,75.83,19.905,35.657,20.268,SOFT,6,True,False,1
LEC,Ferrari,75.901,19.112,34.429,22.36,SOFT,3,True,False,1
STR,Aston Martin,75.921,20.072,35.75,20.099,SOFT,5,True,False,1
BEA,Haas F1 Team,76.024,20.085,35.678,20.261,SOFT,3,True,False,1
BOT,Cadillac,76.083,20.169,35.629,20.285,SOFT,9,True,False,1
LEC,Ferrari,76.107,19.836,36.14,20.131,SOFT,8,True,False,1
OCO,Haas F1 Team,76.223,20.196,35.941,20.086,SOFT,3,True,False,1
OCO,Haas F1 Team,76.316,20.407,35.655,20.254,SOFT,9,True,False,1
COL,Alpine,76.317,20.243,35.844,20.23,SOFT,4,True,False,1
