Driver,Team,LapTimeSeconds,Sector1Seconds,Sector2Seconds,Sector3Seconds,Compound,TyreLife,IsAccurate,Deleted,TrackStatus
GAS,Alpine,118.487,35.417,48.108,34.962,MEDIUM,4,True,False,1
LAW,Racing Bulls,118.547,41.469,47.855,29.223,MEDIUM,4,True,False,1
RUS,Mercedes,119.068,39.097,50.415,29.556,MEDIUM,4,True,False,1
PIA,McLaren,119.51,41.519,50.017,27.974,MEDIUM,4,True,False,1
SAI,Williams,120.227,39.412,47.502,33.313,MEDIUM,4,True,False,1
PIA,McLaren,121.497,38.042,49.622,33.833,MEDIUM,3,True,False,1
HAM,Ferrari,122.807,38.371,52.917,31.519,MEDIUM,5,True,False,1
LEC,Ferrari,122.816,45.221,48.237,29.358,MEDIUM,3,True,False,1
SAI,Williams,122.973,39.418,51.672,31.883,MEDIUM,5,True,False,1
LAW,Racing Bulls,122.999,39.424,51.434,32.141,MEDIUM,3,True,False,1
HAM,Ferrari,123.43,42.68,47.837,32.913,MEDIUM,4,True,False,1
GAS,Alpine,123.767,40.949,51.541,31.277,MEDIUM,3,True,False,1
HAD,Red Bull Racing,124.009,45.384,49.649,28.976,MEDIUM,4,True,False,1
LEC,Ferrari,124.11,42.381,49.994,31.735,MEDIUM,3,True,False,1
HAM,Ferrari,124.342,41.051,51.358,31.933,MEDIUM,3,True,False,1
LEC,Ferrari,124.843,41.793,49.847,33.203,MEDIUM,4,True,False,1
HAM,Ferrari,126.281,42.271,51.332,32.678,MEDIUM,3,True,False,1
HAD,Red Bull Racing,128.001,42.335,47.907,37.759,MEDIUM,3,True,False,1
RUS,Mercedes,128.332,44.844,50.831,32.657,MEDIUM,3,True,False,1
ALB,Williams,129.459,42.77,54.141,32.548,MEDIUM,4,True,False,1
VER,Red Bull Racing,130.687,48.389,47.181,35.117,MEDIUM,3,True,False,1
VER,Red Bull Racing,131.523,51.722,45.609,34.192,MEDIUM,4,True,False,1
HAD,Red Bull Racing,134.604,49.158,49.513,35.933,MEDIUM,3,True,False,1
ALO,Aston Martin,135.236,48.094,52.295,34.847,MEDIUM,3,True,False,1
COL,Alpine,136.028,49.111,51.056,35.861,MEDIUM,4,True,False,1
LIN,Racing Bulls,137.615,48.626,46.012,42.977,MEDIUM,4,True,False,1
COL,Alpine,141.005,50.325,52.549,38.131,MEDIUM,3,True,False,1
LIN,Racing Bulls,142.948,40.419,60.271,42.258,MEDIUM,3,True,False,1
STR,Aston Martin,143.031,47.75,57.39,37.891,MEDIUM,3,True,False,1
