Position,Driver,Team,Points
1.0,PIA,McLaren,25
2.0,NOR,McLaren,18
3.0,RUS,Mercedes,15
4.0,VER,Red Bull Racing,12
5.0,ALB,Williams,10
6.0,ANT,Mercedes,8
7.0,LEC,Ferrari,6
8.0,HAM,Ferrari,4
9.0,SAI,Williams,2
10.0,TSU,Red Bull Racing,1
11.0,HAD,Racing Bulls,0
12.0,OCO,Haas F1 Team,0
13.0,GAS,Alpine,0
14.0,HUL,Kick Sauber,0
15.0,ALO,Aston Martin,0
16.0,STR,Aston Martin,0
17.0,LAW,Racing Bulls,0
18.0,BOR,Kick Sauber,0
19.0,BEA,Haas F1 Team,0
20.0,DOO,Alpine,0
