Position,Driver,Team,Points
1.0,ANT,Mercedes,25
2.0,RUS,Mercedes,18
3.0,VER,Red Bull Racing,15
4.0,NOR,McLaren,12
5.0,PIA,McLaren,10
6.0,HAM,Ferrari,8
7.0,GAS,Alpine,6
8.0,LIN,Racing Bulls,4
9.0,COL,Alpine,2
10.0,TSU,Racing Bulls,1
11.0,BOR,Audi,0
12.0,HUL,Audi,0
13.0,SAI,Williams,0
14.0,LAW,Red Bull Racing,0
15.0,BEA,Haas F1 Team,0
16.0,OCO,Haas F1 Team,0
17.0,ALB,Williams,0
18.0,PER,Cadillac,0
19.0,BOT,Cadillac,0
20.0,STR,Aston Martin,0
21.0,ALO,Aston Martin,0
22.0,LEC,Ferrari,0
