Position,Driver,Team,BestLap,LapTimeSeconds,Compound,TyreLife,TrackStatus,Sector1Time,Sector2Time,Sector3Time
1,LEC,Ferrari,1:19.075,79.075,SOFT,2.0,1,27.846,28.625,22.604
2,VER,Red Bull Racing,1:19.559,79.559,SOFT,2.0,1,28.031,28.879,22.649
3,HAM,Ferrari,1:19.618,79.618,SOFT,2.0,1,27.931,28.907,22.78
4,HAD,Red Bull Racing,1:19.997,79.997,SOFT,2.0,1,27.866,29.016,23.115
5,RUS,Mercedes,1:20.066,80.066,SOFT,2.0,1,28.191,29.064,22.811
6,BOR,Audi,1:20.360,80.36,SOFT,2.0,12,28.104,29.15,23.106
7,VES,Mercedes,1:20.467,80.467,SOFT,2.0,1,28.3,29.29,22.877
8,HUL,Audi,1:20.623,80.623,SOFT,5.0,12,28.13,29.377,23.116
9,LIN,Racing Bulls,1:20.760,80.76,SOFT,2.0,1,28.485,29.119,23.156
10,LAW,Racing Bulls,1:20.866,80.866,SOFT,2.0,1,28.201,29.385,23.28
11,NOR,McLaren,1:21.024,81.024,SOFT,4.0,1,28.234,28.988,23.802
12,OCO,Haas F1 Team,1:21.051,81.051,SOFT,5.0,1,28.408,29.482,23.161
13,ALO,Aston Martin,1:21.550,81.55,SOFT,2.0,1,28.899,29.471,23.18
14,GAS,Alpine,1:21.704,81.704,SOFT,3.0,1,28.558,29.88,23.266
15,ALB,Williams,1:21.819,81.819,SOFT,2.0,1,28.505,29.742,23.572
16,FOR,McLaren,1:21.890,81.89,MEDIUM,6.0,1,28.519,29.806,23.565
17,HIR,Haas F1 Team,1:22.001,82.001,SOFT,7.0,1,28.653,29.86,23.488
18,PER,Cadillac,1:22.089,82.089,SOFT,2.0,1,28.609,30.251,23.229
19,ARO,Alpine,1:22.168,82.168,SOFT,5.0,12,28.618,29.851,23.699
20,HER,Cadillac,1:23.118,83.118,SOFT,2.0,1,28.944,30.707,23.467
21,STR,Aston Martin,1:23.471,83.471,HARD,4.0,1,29.636,30.353,23.482
22,SAI,Williams,1:23.734,83.734,MEDIUM,7.0,1,29.046,30.657,24.031
