Driver,Team,LapTimeSeconds,Sector1Seconds,Sector2Seconds,Sector3Seconds,Compound,TyreLife,IsAccurate,Deleted,TrackStatus
NOR,McLaren,110.812,37.577,38.523,34.712,MEDIUM,5,True,False,1
HUL,Audi,111.52,42.153,43.131,26.236,MEDIUM,5,True,False,1
LIN,Racing Bulls,111.62,43.382,41.895,26.343,MEDIUM,3,True,False,1
ALB,Williams,112.2,44.192,41.286,26.722,MEDIUM,5,True,False,1
LEC,Ferrari,112.246,44.9,41.369,25.977,MEDIUM,3,True,False,1
LEC,Ferrari,112.594,42.753,42.791,27.05,MEDIUM,5,True,False,1
FOR,McLaren,112.694,39.086,44.239,29.369,MEDIUM,12,True,False,1
FOR,McLaren,112.703,39.025,43.005,30.673,MEDIUM,5,True,False,1
ALB,Williams,112.851,46.175,40.293,26.383,MEDIUM,3,True,False,1
GAS,Alpine,112.948,44.067,43.207,25.674,MEDIUM,9,True,False,1
PER,Cadillac,113.288,41.437,43.895,27.956,HARD,3,True,False,1
STR,Aston Martin,113.394,39.123,41.322,32.949,HARD,3,True,False,1
GAS,Alpine,113.516,36.81,40.3,36.406,SOFT,13,True,False,1
LIN,Racing Bulls,114.797,40.547,45.22,29.03,MEDIUM,5,True,False,1
FOR,McLaren,115.333,38.814,43.716,32.803,MEDIUM,3,True,False,1
ALO,Aston Martin,115.442,39.433,49.882,26.127,SOFT,6,True,False,1
HAD,Red Bull Racing,116.202,38.228,47.099,30.875,MEDIUM,7,True,False,1
LEC,Ferrari,116.284,46.559,44.451,25.274,MEDIUM,7,True,False,1
HUL,Audi,117.068,41.357,44.335,31.376,SOFT,3,True,False,1
SAI,Williams,117.072,45.626,40.235,31.211,SOFT,4,True,False,1
ALB,Williams,118.13,45.634,44.555,27.941,MEDIUM,10,True,False,1
PER,Cadillac,118.83,43.792,41.765,33.273,HARD,7,True,False,1
ALO,Aston Martin,118.861,42.542,44.34,31.979,HARD,5,True,False,1
HIR,Haas F1 Team,119.023,45.646,46.399,26.978,MEDIUM,6,True,False,1
BOR,Audi,119.14,33.462,48.048,37.63,SOFT,15,True,False,1
OCO,Haas F1 Team,119.14,40.791,44.342,34.007,SOFT,6,True,False,12
HER,Cadillac,119.459,40.323,46.997,32.139,HARD,5,True,False,1
NOR,McLaren,121.845,46.193,44.495,31.157,MEDIUM,4,True,False,1
HAD,Red Bull Racing,122.537,48.782,43.566,30.189,SOFT,3,True,False,12
