Driver,Team,LapTimeSeconds,Sector1Seconds,Sector2Seconds,Sector3Seconds,Compound,TyreLife,IsAccurate,Deleted,TrackStatus
BOT,Cadillac,97.573,31.009,39.599,26.965,HARD,2,True,False,1
OCO,Haas F1 Team,97.609,30.287,40.068,27.254,HARD,14,True,False,12
STR,Aston Martin,98.716,31.651,40.373,26.692,HARD,2,True,False,1
PIA,McLaren,100.976,33.781,41.451,25.744,HARD,11,True,False,1
HUL,Audi,101.44,35.161,40.251,26.028,HARD,15,True,False,12
HAM,Ferrari,101.963,29.238,37.076,35.649,HARD,10,True,False,1
NOR,McLaren,102.087,33.728,42.001,26.358,HARD,12,True,False,1
HAD,Red Bull Racing,102.116,30.03,43.171,28.915,HARD,12,True,False,1
HAM,Ferrari,104.998,41.657,37.694,25.647,SOFT,6,True,False,1
RUS,Mercedes,106.188,30.09,46.273,29.825,HARD,2,True,False,1
SAI,Williams,107.098,30.29,48.336,28.472,HARD,11,True,False,1
LEC,Ferrari,107.404,34.57,44.234,28.6,SOFT,6,True,False,1
ANT,Mercedes,107.693,31.206,38.177,38.31,SOFT,5,True,False,1
BOT,Cadillac,109.436,36.992,45.343,27.101,HARD,7,True,False,1
LIN,Racing Bulls,110.042,29.502,51.354,29.186,MEDIUM,8,True,False,1
PIA,McLaren,110.77,36.627,45.175,28.968,SOFT,4,True,False,1
ANT,Mercedes,111.026,34.345,45.072,31.609,HARD,9,True,False,1
ANT,Mercedes,111.169,32.855,50.104,28.21,HARD,4,True,False,1
HAD,Red Bull Racing,112.345,36.244,45.73,30.371,SOFT,5,True,False,1
ALO,Aston Martin,113.496,33.909,42.126,37.461,MEDIUM,7,True,False,1
ALB,Williams,113.723,31.951,44.401,37.371,SOFT,7,True,False,1
COL,Alpine,113.907,32.766,48.884,32.257,HARD,6,True,False,1
HAM,Ferrari,115.042,29.244,41.709,44.089,HARD,9,True,False,1
HAD,Red Bull Racing,115.479,36.525,47.598,31.356,SOFT,4,True,False,1
VER,Red Bull Racing,115.529,39.12,46.272,30.137,SOFT,4,True,False,1
VER,Red Bull Racing,116.106,30.198,46.679,39.229,HARD,6,True,False,1
SAI,Williams,117.007,40.499,48.544,27.964,HARD,10,True,False,1
HUL,Audi,118.636,40.888,48.795,28.953,MEDIUM,6,True,False,1
HUL,Audi,119.473,40.192,48.309,30.972,MEDIUM,3,True,False,1
STR,Aston Martin,119.523,37.655,48.045,33.823,MEDIUM,6,True,False,1
LAW,Racing Bulls,119.989,37.954,48.744,33.291,MEDIUM,9,True,False,1
RUS,Mercedes,120.202,41.81,50.736,27.656,SOFT,4,True,False,1
HAM,Ferrari,120.248,39.268,46.642,34.338,SOFT,4,True,False,1
HUL,Audi,120.361,39.257,49.265,31.839,MEDIUM,4,True,False,1
LIN,Racing Bulls,120.748,40.635,50.411,29.702,MEDIUM,4,True,False,1
LAW,Racing Bulls,121.163,35.639,45.636,39.888,MEDIUM,10,True,False,1
LAW,Racing Bulls,121.671,36.486,57.64,27.545,MEDIUM,2,True,False,1
ALO,Aston Martin,121.839,31.088,53.579,37.172,MEDIUM,5,True,False,1
BEA,Haas F1 Team,122.218,46.734,46.37,29.114,SOFT,6,True,False,1
ALB,Williams,122.764,43.854,50.109,28.801,HARD,9,True,False,1
BEA,Haas F1 Team,123.025,38.725,43.185,41.115,SOFT,7,True,False,1
SAI,Williams,123.341,39.926,50.079,33.336,HARD,8,True,False,1
STR,Aston Martin,123.432,36.4,44.867,42.165,MEDIUM,8,True,False,1
STR,Aston Martin,123.508,42.015,48.861,32.632,HARD,9,True,False,1
NOR,McLaren,123.585,41.116,49.246,33.223,SOFT,6,True,False,1
OCO,Haas F1 Team,123.699,46.325,48.252,29.122,SOFT,4,True,False,1
LEC,Ferrari,123.91,38.608,50.717,34.585,SOFT,5,True,False,1
LIN,Racing Bulls,125.105,36.64,53.066,35.399,MEDIUM,10,True,False,1
PER,Cadillac,125.368,29.704,53.303,42.361,MEDIUM,4,True,False,1
NOR,McLaren,125.534,37.931,46.601,41.002,SOFT,7,True,False,1
NOR,McLaren,125.918,38.404,53.15,34.364,HARD,8,True,False,1
OCO,Haas F1 Team,126.366,42.449,47.293,36.624,SOFT,7,True,False,1
PER,Cadillac,127.096,44.611,52.015,30.47,MEDIUM,3,True,False,1
COL,Alpine,127.421,42.791,50.596,34.034,MEDIUM,3,True,False,1
ALB,Williams,127.476,43.516,55.037,28.923,HARD,14,True,False,1
COL,Alpine,128.638,50.675,48.594,29.369,MEDIUM,4,True,False,1
LIN,Racing Bulls,128.938,42.868,52.653,33.417,HARD,3,True,False,1
SAI,Williams,129.795,39.978,50.517,39.3,HARD,3,True,False,1
ANT,Mercedes,130.019,44.954,52.486,32.579,HARD,6,True,False,1
HAD,Red Bull Racing,131.384,41.965,51.402,38.017,SOFT,7,True,False,1
ALB,Williams,131.928,43.139,53.797,34.992,SOFT,6,True,False,1
ALO,Aston Martin,131.948,47.553,51.053,33.342,HARD,6,True,False,1
ALB,Williams,132.231,44.648,48.972,38.611,HARD,3,True,False,1
NOR,McLaren,132.965,41.963,56.229,34.773,HARD,6,True,False,1
LEC,Ferrari,133.295,41.411,52.469,39.415,SOFT,8,True,False,1
