Position,Driver,Team,BestLap,LapTimeSeconds,Compound,TyreLife,TrackStatus,Sector1Time,Sector2Time,Sector3Time
1,RUS,Mercedes,1:34.077,94.077,SOFT,9.0,1,29.187,33.715,31.175
2,ANT,Mercedes,1:34.363,94.363,SOFT,10.0,1,29.397,33.725,31.241
3,LEC,Ferrari,1:34.536,94.536,SOFT,10.0,1,29.136,33.688,31.712
4,HAM,Ferrari,1:34.620,94.62,MEDIUM,14.0,1,29.328,33.918,31.374
5,VER,Red Bull Racing,1:34.703,94.703,SOFT,2.0,1,29.358,33.853,31.492
6,NOR,McLaren,1:34.947,94.947,SOFT,4.0,1,29.419,34.086,31.442
7,LIN,Racing Bulls,1:35.033,95.033,SOFT,8.0,1,29.383,33.799,31.851
8,PIA,McLaren,1:35.148,95.148,SOFT,5.0,1,29.666,33.938,31.544
9,HUL,Audi,1:35.529,95.529,SOFT,2.0,1,29.374,34.392,31.763
10,LAW,Red Bull Racing,1:35.539,95.539,SOFT,5.0,1,29.753,33.697,32.089
11,BOR,Audi,1:35.652,95.652,SOFT,2.0,1,29.145,34.304,32.203
12,OCO,Haas F1 Team,1:35.834,95.834,SOFT,5.0,1,29.648,34.286,31.9
13,COL,Alpine,1:35.933,95.933,SOFT,4.0,1,29.723,34.031,32.179
14,GAS,Alpine,1:36.244,96.244,SOFT,2.0,1,29.707,34.181,32.356
15,ALO,Aston Martin,1:36.473,96.473,SOFT,6.0,1,30.058,34.555,31.86
16,BEA,Haas F1 Team,1:36.853,96.853,SOFT,6.0,1,29.653,34.666,32.534
17,SAI,Williams,1:36.870,96.87,SOFT,6.0,1,29.957,34.541,32.372
18,TSU,Racing Bulls,1:36.939,96.939,MEDIUM,12.0,1,30.021,34.423,32.495
19,STR,Aston Martin,1:37.254,97.254,SOFT,6.0,1,30.323,34.71,32.221
20,ALB,Williams,1:37.591,97.591,SOFT,8.0,1,30.021,34.816,32.754
21,PER,Cadillac,1:38.150,98.15,SOFT,5.0,1,30.209,35.023,32.918
22,BOT,Cadillac,1:38.818,98.818,SOFT,10.0,1,30.164,35.595,33.059
