Position,Driver,Team,BestLap,LapTimeSeconds,Compound,TyreLife,TrackStatus
1,ANT,Mercedes,1:12.720,72.72,SOFT,3.0,1
2,LEC,Ferrari,1:13.047,73.047,SOFT,5.0,1
3,HAM,Ferrari,1:13.051,73.051,SOFT,4.0,1
4,RUS,Mercedes,1:13.483,73.483,SOFT,7.0,1
5,VER,Red Bull Racing,1:13.662,73.662,SOFT,3.0,1
6,PIA,McLaren,1:13.698,73.698,SOFT,14.0,1
7,BOR,Audi,1:13.820,73.82,SOFT,4.0,1
8,HAD,Red Bull Racing,1:13.877,73.877,SOFT,3.0,1
9,NOR,McLaren,1:14.006,74.006,SOFT,15.0,1
10,HUL,Audi,1:14.050,74.05,SOFT,5.0,12
11,OCO,Haas F1 Team,1:14.278,74.278,SOFT,5.0,1
12,SAI,Williams,1:14.336,74.336,SOFT,7.0,1
13,GAS,Alpine,1:14.480,74.48,SOFT,11.0,1
14,BEA,Haas F1 Team,1:14.487,74.487,SOFT,3.0,1
15,LAW,Racing Bulls,1:14.587,74.587,SOFT,13.0,1
16,ALB,Williams,1:14.801,74.801,SOFT,8.0,1
17,LIN,Racing Bulls,1:14.918,74.918,SOFT,15.0,1
18,PER,Cadillac,1:14.945,74.945,SOFT,3.0,1
19,COL,Alpine,1:15.179,75.179,SOFT,3.0,1
20,BOT,Cadillac,1:15.451,75.451,SOFT,3.0,1
21,ALO,Aston Martin,1:15.567,75.567,SOFT,5.0,1
22,STR,Aston Martin,1:15.921,75.921,SOFT,5.0,1
