Position,Driver,Team
1.0,NOR,McLaren
2.0,PIA,McLaren
3.0,HAM,Ferrari
4.0,RUS,Mercedes
5.0,STR,Aston Martin
6.0,TSU,Red Bull Racing
7.0,ANT,Mercedes
8.0,GAS,Alpine
9.0,HUL,Kick Sauber
10.0,HAD,Racing Bulls
11.0,ALB,Williams
12.0,OCO,Haas F1 Team
13.0,LAW,Racing Bulls
14.0,BEA,Haas F1 Team
15.0,BOR,Kick Sauber
16.0,DOO,Alpine
17.0,VER,Red Bull Racing
18.0,ALO,Aston Martin
19.0,SAI,Williams
20.0,LEC,Ferrari
