Position,Driver,Team,BestLap,LapTimeSeconds,Compound,TyreLife,TrackStatus
1,RUS,,1:16.363,76.363,SOFT,2.0,1
2,PIA,,1:16.566,76.566,SOFT,2.0,1
3,LEC,,1:16.883,76.883,SOFT,2.0,1
4,VER,,1:17.047,77.047,SOFT,2.0,12
5,FOR,,1:17.216,77.216,SOFT,2.0,1
6,ARO,,1:17.321,77.321,SOFT,2.0,1
7,LAW,,1:17.472,77.472,SOFT,2.0,1
8,BEG,,1:17.778,77.778,SOFT,2.0,1
9,LIN,,1:17.804,77.804,SOFT,2.0,21
10,COL,,1:17.893,77.893,SOFT,2.0,1
11,BEA,,1:18.172,78.172,SOFT,2.0,1
12,BOR,,1:18.209,78.209,SOFT,2.0,1
13,SAI,,1:18.293,78.293,SOFT,3.0,1
14,IWA,,1:18.298,78.298,SOFT,2.0,1
15,VES,,1:18.365,78.365,SOFT,8.0,1
16,OCO,,1:18.372,78.372,SOFT,2.0,1
17,GAS,,1:18.508,78.508,SOFT,2.0,1
18,BOT,,1:18.914,78.914,SOFT,2.0,1
19,ALO,,1:20.067,80.067,SOFT,2.0,1
20,STR,,1:20.318,80.318,SOFT,2.0,1
21,HER,,1:20.697,80.697,SOFT,5.0,1
