Position,Driver,Team
1.0,PIA,McLaren
2.0,NOR,McLaren
3.0,RUS,Mercedes
4.0,VER,Red Bull Racing
5.0,ALB,Williams
6.0,ANT,Mercedes
7.0,LEC,Ferrari
8.0,HAM,Ferrari
9.0,SAI,Williams
10.0,TSU,Red Bull Racing
11.0,HAD,Racing Bulls
12.0,OCO,Haas F1 Team
13.0,GAS,Alpine
14.0,HUL,Kick Sauber
15.0,ALO,Aston Martin
16.0,STR,Aston Martin
17.0,LAW,Racing Bulls
18.0,BOR,Kick Sauber
19.0,BEA,Haas F1 Team
20.0,DOO,Alpine
