Position,Driver,Team,Points
1.0,RUS,Mercedes,8
2.0,LEC,Ferrari,7
3.0,NOR,McLaren,6
4.0,ANT,Mercedes,5
5.0,PIA,McLaren,4
6.0,VER,Red Bull Racing,3
7.0,HAM,Ferrari,2
8.0,GAS,Alpine,1
9.0,BOR,Audi,0
10.0,LIN,Racing Bulls,0
11.0,LAW,Red Bull Racing,0
12.0,COL,Alpine,0
13.0,TSU,Racing Bulls,0
14.0,OCO,Haas F1 Team,0
15.0,BEA,Haas F1 Team,0
16.0,ALB,Williams,0
17.0,STR,Aston Martin,0
18.0,ALO,Aston Martin,0
19.0,BOT,Cadillac,0
20.0,SAI,Williams,0
21.0,PER,Cadillac,0
22.0,HUL,Audi,0
