Position,Driver,Team,Points
1.0,NOR,McLaren,25
2.0,ANT,Mercedes,18
3.0,RUS,Mercedes,15
4.0,HAM,Ferrari,12
5.0,LEC,Ferrari,10
6.0,PIA,McLaren,8
7.0,LAW,Red Bull Racing,6
8.0,HUL,Audi,4
9.0,ALO,Aston Martin,2
10.0,GAS,Alpine,1
11.0,TSU,Racing Bulls,0
12.0,LIN,Racing Bulls,0
13.0,BOR,Audi,0
14.0,COL,Alpine,0
15.0,PER,Cadillac,0
16.0,SAI,Williams,0
17.0,ALB,Williams,0
18.0,BOT,Cadillac,0
19.0,OCO,Haas F1 Team,0
20.0,STR,Aston Martin,0
21.0,BEA,Haas F1 Team,0
22.0,VER,Red Bull Racing,0
