Position,Driver,Team,BestLap,LapTimeSeconds,Compound,TyreLife,TrackStatus,Sector1Time,Sector2Time,Sector3Time
1,RUS,Mercedes,1:45.387,105.387,SOFT,6.0,1,37.336,43.319,24.732
2,VER,Red Bull Racing,1:45.787,105.787,SOFT,4.0,12,37.602,42.988,25.197
3,LEC,Ferrari,1:45.791,105.791,MEDIUM,8.0,1,37.151,43.429,25.211
4,HAM,Ferrari,1:45.824,105.824,MEDIUM,8.0,1,37.279,43.358,25.187
5,ANT,Mercedes,1:46.265,106.265,HARD,7.0,1,37.683,43.559,25.023
6,PIA,McLaren,1:46.398,106.398,SOFT,7.0,1,37.756,43.311,25.331
7,LAW,Racing Bulls,1:46.440,106.44,MEDIUM,4.0,1,37.704,43.58,25.156
8,LIN,Racing Bulls,1:46.601,106.601,MEDIUM,7.0,1,37.814,43.733,25.054
9,OCO,Haas F1 Team,1:46.624,106.624,SOFT,4.0,1,37.695,43.675,25.254
10,BOR,Audi,1:46.688,106.688,SOFT,6.0,1,38.03,43.353,25.305
11,HUL,Audi,1:46.871,106.871,SOFT,4.0,12,38.043,43.624,25.204
12,SAI,Williams,1:46.893,106.893,SOFT,12.0,12,37.996,43.433,25.464
13,ALB,Williams,1:46.939,106.939,SOFT,6.0,1,38.011,43.723,25.205
14,NOR,McLaren,1:46.981,106.981,MEDIUM,10.0,1,37.702,43.525,25.754
15,BEA,Haas F1 Team,1:46.994,106.994,SOFT,6.0,1,37.858,43.893,25.243
16,GAS,Alpine,1:47.043,107.043,HARD,12.0,1,37.907,43.809,25.327
17,PER,Cadillac,1:47.253,107.253,MEDIUM,10.0,12,37.93,43.985,25.338
18,COL,Alpine,1:47.523,107.523,SOFT,4.0,12,38.086,44.167,25.27
19,ALO,Aston Martin,1:47.835,107.835,MEDIUM,7.0,1,37.88,44.167,25.788
20,HAD,Red Bull Racing,1:47.873,107.873,HARD,6.0,1,38.266,44.452,25.155
21,STR,Aston Martin,1:48.547,108.547,MEDIUM,7.0,1,38.339,44.239,25.969
22,BOT,Cadillac,1:49.315,109.315,MEDIUM,10.0,1,38.516,44.746,26.053
