Position,Driver,Team,BestLap,LapTimeSeconds,Compound,TyreLife,TrackStatus,Sector1Time,Sector2Time,Sector3Time
1,VER,Red Bull Racing,1:43.922,103.922,SOFT,9.0,12,36.536,42.053,25.333
2,RUS,Mercedes,1:44.021,104.021,SOFT,5.0,1,36.57,42.225,25.226
3,HAM,Ferrari,1:44.033,104.033,SOFT,5.0,12,36.592,42.506,24.935
4,ANT,Mercedes,1:44.273,104.273,SOFT,5.0,1,36.821,42.259,25.193
5,LEC,Ferrari,1:44.544,104.544,SOFT,3.0,12,36.483,42.628,25.433
6,GAS,Alpine,1:44.637,104.637,SOFT,6.0,1,37.261,42.722,24.654
7,PIA,McLaren,1:44.746,104.746,SOFT,8.0,12,36.667,42.686,25.393
8,NOR,McLaren,1:44.899,104.899,SOFT,4.0,12,36.756,42.474,25.669
9,HAD,Red Bull Racing,1:45.176,105.176,SOFT,9.0,1,37.06,42.578,25.538
10,COL,Alpine,1:45.592,105.592,SOFT,6.0,1,37.354,42.878,25.36
11,SAI,Williams,1:45.605,105.605,SOFT,5.0,1,37.167,43.153,25.285
12,BEA,Haas F1 Team,1:45.692,105.692,SOFT,6.0,12,37.239,42.886,25.567
13,BOR,Audi,1:45.854,105.854,SOFT,5.0,21,37.358,42.974,25.522
14,OCO,Haas F1 Team,1:45.918,105.918,SOFT,8.0,1,37.309,43.028,25.581
15,HUL,Audi,1:45.998,105.998,SOFT,3.0,1,37.456,42.821,25.721
16,PER,Cadillac,1:46.004,106.004,SOFT,6.0,1,37.164,43.004,25.836
17,ALB,Williams,1:46.076,106.076,SOFT,7.0,12,37.475,43.336,25.265
18,LAW,Racing Bulls,1:46.222,106.222,SOFT,7.0,12,37.457,42.992,25.773
19,LIN,Racing Bulls,1:46.271,106.271,SOFT,7.0,1,37.576,43.296,25.399
20,ALO,Aston Martin,1:46.512,106.512,SOFT,8.0,1,37.252,43.172,26.088
21,BOT,Cadillac,1:48.587,108.587,SOFT,6.0,1,38.552,44.14,25.895
22,STR,Aston Martin,1:49.279,109.279,SOFT,7.0,12,38.768,44.278,26.233
