Driver,Team,LapTimeSeconds,Sector1Seconds,Sector2Seconds,Sector3Seconds,Compound,TyreLife,IsAccurate,Deleted,TrackStatus
HAM,Ferrari,82.025,23.963,33.186,24.876,MEDIUM,13,True,False,1
GAS,Alpine,82.046,23.86,33.21,24.976,MEDIUM,11,True,False,1
VER,Red Bull Racing,82.059,23.506,33.285,25.268,SOFT,11,True,False,1
ANT,Mercedes,82.061,23.606,33.358,25.097,SOFT,11,True,False,1
HUL,Audi,82.102,23.825,33.331,24.946,MEDIUM,12,True,False,1
VER,Red Bull Racing,82.116,23.621,33.439,25.056,SOFT,12,True,False,1
ANT,Mercedes,82.122,23.841,33.262,25.019,SOFT,13,True,False,1
LIN,Racing Bulls,82.125,24.032,33.219,24.874,MEDIUM,9,True,False,1
BOR,Audi,82.143,23.918,33.222,25.003,MEDIUM,11,True,False,1
HUL,Audi,82.148,23.825,33.323,25.0,SOFT,9,True,False,1
RUS,Mercedes,82.177,23.816,33.367,24.994,MEDIUM,15,True,False,1
PIA,McLaren,82.244,23.98,33.313,24.951,MEDIUM,12,True,False,1
COL,Alpine,82.297,23.775,33.57,24.952,MEDIUM,11,True,False,1
COL,Alpine,82.368,23.826,33.614,24.928,MEDIUM,12,True,False,1
LIN,Racing Bulls,82.368,23.932,33.36,25.076,MEDIUM,10,True,False,1
PIA,McLaren,82.368,23.958,33.596,24.814,MEDIUM,11,True,False,1
VER,Red Bull Racing,82.454,23.75,33.702,25.002,SOFT,5,True,False,1
BOR,Audi,82.483,23.872,33.512,25.099,MEDIUM,12,True,False,1
HUL,Audi,82.493,23.75,33.616,25.127,MEDIUM,13,True,False,1
VER,Red Bull Racing,82.54,23.978,33.491,25.071,HARD,15,True,False,1
VER,Red Bull Racing,82.584,23.627,33.467,25.49,SOFT,13,True,False,1
NOR,McLaren,82.613,23.832,33.56,25.221,SOFT,12,True,False,1
BEA,Haas F1 Team,82.618,24.025,33.406,25.187,MEDIUM,13,True,False,1
GAS,Alpine,82.625,23.974,33.571,25.08,MEDIUM,12,True,False,1
PIA,McLaren,82.692,24.056,33.397,25.239,MEDIUM,13,True,False,1
HAD,Red Bull Racing,82.781,24.261,33.232,25.288,MEDIUM,11,True,False,1
PIA,McLaren,82.782,24.011,33.499,25.272,MEDIUM,15,True,False,1
SAI,Williams,82.784,23.958,33.68,25.146,SOFT,5,True,False,1
HAD,Red Bull Racing,82.846,23.812,33.439,25.595,SOFT,8,True,False,1
HUL,Audi,82.888,24.101,33.61,25.177,MEDIUM,15,True,False,1
LEC,Ferrari,82.905,23.932,33.512,25.461,MEDIUM,15,True,False,1
LIN,Racing Bulls,82.928,23.961,33.559,25.408,MEDIUM,11,True,False,1
LIN,Racing Bulls,82.93,24.115,33.606,25.209,MEDIUM,12,True,False,1
COL,Alpine,82.935,23.932,33.671,25.332,MEDIUM,13,True,False,1
HAD,Red Bull Racing,82.958,23.958,33.722,25.278,SOFT,10,True,False,1
BOR,Audi,82.975,24.052,33.649,25.274,MEDIUM,13,True,False,1
NOR,McLaren,82.981,24.181,33.596,25.204,SOFT,11,True,False,1
HAD,Red Bull Racing,82.983,24.176,33.669,25.138,SOFT,11,True,False,1
GAS,Alpine,83.027,23.91,33.781,25.336,MEDIUM,13,True,False,1
ANT,Mercedes,83.034,24.476,33.94,24.618,MEDIUM,14,True,False,1
BEA,Haas F1 Team,83.039,24.141,33.66,25.238,MEDIUM,12,True,False,1
HAD,Red Bull Racing,83.043,24.5,33.311,25.232,MEDIUM,13,True,False,1
OCO,Haas F1 Team,83.058,24.236,33.665,25.157,MEDIUM,9,True,False,1
NOR,McLaren,83.083,23.97,33.959,25.154,SOFT,13,True,False,1
SAI,Williams,83.152,24.222,33.835,25.095,MEDIUM,8,True,False,1
SAI,Williams,83.198,24.095,33.828,25.275,MEDIUM,9,True,False,1
LIN,Racing Bulls,83.201,24.136,33.759,25.306,MEDIUM,13,True,False,1
PER,Cadillac,83.343,24.191,33.866,25.286,MEDIUM,12,True,False,1
HAD,Red Bull Racing,83.37,24.49,33.382,25.498,MEDIUM,12,True,False,1
BEA,Haas F1 Team,83.385,24.388,33.749,25.248,SOFT,5,True,False,1
ALB,Williams,83.469,24.042,34.065,25.362,SOFT,7,True,False,1
BEA,Haas F1 Team,83.479,24.284,33.599,25.596,SOFT,8,True,False,1
BEA,Haas F1 Team,83.487,24.313,33.668,25.506,SOFT,7,True,False,1
GAS,Alpine,83.488,24.226,33.833,25.429,MEDIUM,14,True,False,1
BEA,Haas F1 Team,83.538,24.312,33.727,25.499,SOFT,9,True,False,1
BEA,Haas F1 Team,83.551,24.298,33.828,25.425,SOFT,6,True,False,1
LIN,Racing Bulls,83.554,24.243,33.844,25.467,MEDIUM,14,True,False,1
BEA,Haas F1 Team,83.698,24.07,33.946,25.682,SOFT,14,True,False,1
PER,Cadillac,83.702,24.427,33.692,25.583,SOFT,10,True,False,1
BEA,Haas F1 Team,83.749,24.385,33.91,25.454,SOFT,10,True,False,1
HAD,Red Bull Racing,83.75,24.528,33.634,25.588,MEDIUM,14,True,False,1
HAM,Ferrari,83.778,23.955,33.447,26.376,MEDIUM,15,True,False,1
OCO,Haas F1 Team,83.808,24.436,33.91,25.462,MEDIUM,11,True,False,1
SAI,Williams,83.839,24.286,34.111,25.442,MEDIUM,10,True,False,1
COL,Alpine,83.858,24.146,34.109,25.603,MEDIUM,14,True,False,1
GAS,Alpine,83.87,24.126,34.055,25.689,MEDIUM,15,True,False,1
PER,Cadillac,83.884,24.427,33.957,25.5,MEDIUM,13,True,False,1
BEA,Haas F1 Team,83.909,24.3,33.981,25.628,SOFT,11,True,False,1
BEA,Haas F1 Team,83.917,24.26,33.999,25.658,SOFT,13,True,False,1
ALB,Williams,83.95,24.448,34.06,25.442,MEDIUM,11,True,False,1
ALB,Williams,84.055,24.159,34.224,25.672,MEDIUM,12,True,False,1
