Driver,Team,LapTimeSeconds,Sector1Seconds,Sector2Seconds,Sector3Seconds,Compound,TyreLife,IsAccurate,Deleted,TrackStatus
BOT,Cadillac,112.647,32.088,50.522,30.037,SOFT,9,True,False,1
BEA,Haas F1 Team,112.657,32.344,50.246,30.067,SOFT,11,True,False,1
BOT,Cadillac,112.669,32.222,50.58,29.867,SOFT,10,True,False,1
PER,Cadillac,112.734,32.126,50.514,30.094,SOFT,9,True,False,1
BOT,Cadillac,112.754,32.25,50.73,29.774,SOFT,13,True,False,1
COL,Alpine,112.819,32.02,50.753,30.046,MEDIUM,7,True,False,1
OCO,Haas F1 Team,112.821,32.242,50.78,29.799,SOFT,13,True,False,1
HUL,Audi,112.827,31.647,48.866,32.314,SOFT,9,True,False,1
BOT,Cadillac,112.829,32.347,50.669,29.813,SOFT,12,True,False,1
BOT,Cadillac,112.943,32.043,51.062,29.838,SOFT,14,True,False,1
STR,Aston Martin,112.963,32.472,50.387,30.104,SOFT,2,True,False,1
PER,Cadillac,113.021,32.234,50.609,30.178,SOFT,11,True,False,1
BEA,Haas F1 Team,113.243,32.22,51.333,29.69,SOFT,9,True,False,1
GAS,Alpine,113.399,31.769,51.657,29.973,MEDIUM,11,True,False,1
PER,Cadillac,114.443,32.239,51.507,30.697,SOFT,13,True,False,1
OCO,Haas F1 Team,114.512,33.044,51.103,30.365,SOFT,10,True,False,1
PER,Cadillac,114.664,32.401,51.495,30.768,SOFT,12,True,False,1
BOR,Audi,116.331,31.568,48.481,36.282,SOFT,10,True,False,1
NOR,McLaren,118.177,37.364,51.478,29.335,MEDIUM,7,True,False,1
HAD,Red Bull Racing,121.888,31.468,57.783,32.637,MEDIUM,7,True,False,1
LEC,Ferrari,123.574,30.875,59.2,33.499,SOFT,3,True,False,1
PER,Cadillac,134.193,43.712,58.027,32.454,SOFT,5,True,False,1
HAM,Ferrari,136.516,40.612,58.114,37.79,SOFT,4,True,False,1
PER,Cadillac,136.758,40.21,57.714,38.834,SOFT,5,True,False,12
BOT,Cadillac,136.809,39.72,61.865,35.224,SOFT,5,True,False,1
SAI,Williams,139.263,40.523,58.231,40.509,SOFT,3,True,False,1
SAI,Williams,139.428,31.446,69.106,38.876,SOFT,2,True,False,1
LAW,Racing Bulls,140.101,38.13,66.098,35.873,SOFT,4,True,False,1
LAW,Racing Bulls,143.382,37.222,63.936,42.224,SOFT,6,True,False,12
HAD,Red Bull Racing,145.242,38.135,71.535,35.572,MEDIUM,4,True,False,1
BOT,Cadillac,145.926,41.395,67.175,37.356,SOFT,3,True,False,1
BEA,Haas F1 Team,146.468,43.938,65.911,36.619,SOFT,4,True,False,1
LIN,Racing Bulls,146.8,39.326,65.463,42.011,SOFT,4,True,False,1
PER,Cadillac,146.899,42.184,64.238,40.477,SOFT,3,True,False,1
OCO,Haas F1 Team,147.251,42.405,63.646,41.2,SOFT,4,True,False,1
LAW,Racing Bulls,148.88,38.505,62.873,47.502,SOFT,7,True,False,2
