Position,Driver,Team,BestLap,LapTimeSeconds,Compound,TyreLife,TrackStatus,Sector1Time,Sector2Time,Sector3Time
1,VER,Red Bull Racing,1:47.070,107.07,SOFT,2.0,1,30.974,47.308,28.788
2,HAM,Ferrari,1:47.215,107.215,SOFT,4.0,1,30.941,47.421,28.853
3,LEC,Ferrari,1:47.277,107.277,SOFT,4.0,1,31.02,47.281,28.976
4,HAD,Red Bull Racing,1:47.322,107.322,SOFT,2.0,1,30.983,47.503,28.836
5,PIA,McLaren,1:47.522,107.522,SOFT,2.0,1,30.91,47.383,29.229
6,ANT,Mercedes,1:47.603,107.603,SOFT,2.0,1,30.715,48.177,28.711
7,NOR,McLaren,1:47.931,107.931,SOFT,2.0,1,30.972,47.78,29.179
8,RUS,Mercedes,1:47.959,107.959,SOFT,2.0,1,30.693,48.29,28.976
9,LIN,Racing Bulls,1:48.234,108.234,SOFT,2.0,1,30.967,48.211,29.056
10,BOR,Audi,1:48.406,108.406,SOFT,2.0,1,31.189,48.078,29.139
11,LAW,Racing Bulls,1:48.432,108.432,SOFT,4.0,1,31.279,48.182,28.971
12,HUL,Audi,1:48.962,108.962,SOFT,2.0,1,31.741,47.829,29.392
13,BEA,Haas F1 Team,1:49.010,109.01,SOFT,2.0,1,31.161,48.929,28.92
14,ALB,Williams,1:49.337,109.337,SOFT,4.0,1,30.999,49.143,29.195
15,COL,Alpine,1:49.403,109.403,SOFT,2.0,1,31.326,48.618,29.459
16,OCO,Haas F1 Team,1:49.449,109.449,SOFT,2.0,1,31.392,48.908,29.149
17,GAS,Alpine,1:49.712,109.712,SOFT,2.0,1,31.439,48.638,29.635
18,BOT,Cadillac,1:49.839,109.839,SOFT,2.0,1,31.377,49.123,29.339
19,PER,Cadillac,1:50.226,110.226,SOFT,2.0,1,31.248,49.419,29.559
20,SAI,Williams,1:50.862,110.862,SOFT,4.0,1,31.661,49.324,29.877
21,STR,Aston Martin,1:52.808,112.808,SOFT,2.0,1,32.56,50.478,29.77
22,CRA,Aston Martin,1:53.199,113.199,SOFT,4.0,1,32.302,50.909,29.988
