Position,Driver,Team,BestLap,LapTimeSeconds,Compound,TyreLife,TrackStatus,Sector1Time,Sector2Time,Sector3Time
1,ANT,Mercedes,1:45.944,105.944,SOFT,2.0,1,30.536,46.722,28.686
2,NOR,McLaren,1:46.134,106.134,SOFT,2.0,1,30.657,46.586,28.891
3,VER,Red Bull Racing,1:46.416,106.416,SOFT,2.0,1,30.771,47.008,28.637
4,HAM,Ferrari,1:46.691,106.691,SOFT,2.0,1,30.781,47.257,28.653
5,HAD,Red Bull Racing,1:46.714,106.714,SOFT,2.0,1,30.807,47.024,28.883
6,PIA,McLaren,1:46.926,106.926,SOFT,2.0,1,30.804,47.357,28.765
7,COL,Alpine,1:47.147,107.147,SOFT,2.0,1,30.587,47.991,28.569
8,RUS,Mercedes,1:47.229,107.229,SOFT,2.0,1,30.711,47.234,29.284
9,LIN,Racing Bulls,1:47.294,107.294,SOFT,4.0,1,30.816,47.562,28.916
10,LAW,Racing Bulls,1:47.434,107.434,SOFT,2.0,1,30.877,47.63,28.927
11,LEC,Ferrari,1:47.468,107.468,SOFT,5.0,1,31.039,47.504,28.925
12,BEA,Haas F1 Team,1:47.792,107.792,SOFT,2.0,1,30.917,48.083,28.792
13,BOR,Audi,1:47.952,107.952,SOFT,2.0,1,31.274,47.607,29.071
14,OCO,Haas F1 Team,1:47.958,107.958,SOFT,2.0,1,31.011,48.037,28.91
15,ALB,Williams,1:48.019,108.019,SOFT,2.0,1,30.961,48.21,28.848
16,SAI,Williams,1:48.256,108.256,SOFT,2.0,1,30.789,48.659,28.808
17,HUL,Audi,1:48.333,108.333,SOFT,2.0,1,31.271,48.05,29.012
18,GAS,Alpine,1:48.955,108.955,MEDIUM,7.0,1,31.105,48.746,29.104
19,BOT,Cadillac,1:49.199,109.199,SOFT,2.0,1,31.368,48.418,29.413
20,PER,Cadillac,1:49.596,109.596,SOFT,2.0,1,31.207,48.479,29.91
21,STR,Aston Martin,1:51.131,111.131,SOFT,4.0,1,31.764,49.87,29.497
22,ALO,Aston Martin,1:51.418,111.418,SOFT,3.0,1,32.19,49.677,29.551
