Position,Driver,Team,BestLap,LapTimeSeconds,Compound,TyreLife,TrackStatus,Sector1Time,Sector2Time,Sector3Time
1,NOR,McLaren,1:10.278,70.278,SOFT,2.0,1,24.154,24.878,21.246
2,PIA,McLaren,1:10.570,70.57,SOFT,5.0,1,24.039,25.053,21.478
3,STR,Aston Martin,1:10.779,70.779,SOFT,6.0,1,24.241,25.026,21.512
4,ALO,Aston Martin,1:10.841,70.841,SOFT,2.0,1,24.202,25.032,21.607
5,ALB,Williams,1:11.171,71.171,SOFT,5.0,1,24.232,25.372,21.567
6,VER,Red Bull Racing,1:11.218,71.218,SOFT,5.0,1,24.571,25.057,21.59
7,RUS,Mercedes,1:11.386,71.386,SOFT,4.0,1,24.472,25.26,21.654
8,SAI,Williams,1:11.458,71.458,SOFT,6.0,1,24.449,25.281,21.728
9,BOR,Kick Sauber,1:11.509,71.509,SOFT,5.0,1,24.473,25.343,21.693
10,GAS,Alpine,1:11.613,71.613,SOFT,2.0,1,24.772,25.105,21.736
11,LAW,Racing Bulls,1:11.753,71.753,SOFT,2.0,1,24.877,25.109,21.767
12,HAD,Racing Bulls,1:11.772,71.772,SOFT,5.0,1,24.389,25.567,21.816
13,HUL,Kick Sauber,1:11.875,71.875,SOFT,5.0,1,24.883,25.287,21.705
14,LEC,Ferrari,1:11.951,71.951,SOFT,2.0,1,24.735,25.589,21.627
15,HAM,Ferrari,1:11.960,71.96,SOFT,2.0,1,24.758,25.396,21.806
16,TSU,Red Bull Racing,1:12.126,72.126,SOFT,5.0,1,24.746,25.362,22.018
17,OCO,Haas F1 Team,1:12.144,72.144,SOFT,5.0,1,24.811,25.668,21.665
18,COL,Alpine,1:12.276,72.276,SOFT,2.0,1,24.873,25.5,21.903
19,BEA,Haas F1 Team,1:12.564,72.564,SOFT,2.0,1,24.899,25.673,21.992
20,ANT,Mercedes,1:14.275,74.275,MEDIUM,2.0,1,25.789,26.256,22.23
