Position,Driver,Team,Points
1.0,PIA,McLaren,25
2.0,NOR,McLaren,18
3.0,LEC,Ferrari,15
4.0,VER,Red Bull Racing,12
5.0,RUS,Mercedes,10
6.0,ALB,Williams,8
7.0,HAM,Ferrari,6
8.0,LAW,Racing Bulls,4
9.0,BOR,Kick Sauber,2
10.0,GAS,Alpine,1
11.0,BEA,Haas F1 Team,0
12.0,HUL,Kick Sauber,0
13.0,TSU,Red Bull Racing,0
14.0,STR,Aston Martin,0
15.0,OCO,Haas F1 Team,0
16.0,ANT,Mercedes,0
17.0,ALO,Aston Martin,0
18.0,SAI,Williams,0
19.0,COL,Alpine,0
20.0,HAD,Racing Bulls,0
